Startup;Fonds;Geschlecht;Titel;Vorname;Nachname;Land
Umiami;Redalpine Capital S.C.S., SICAR VI;Herr;;Martin;Habfast;Frankreich
Umiami;Redalpine Capital S.C.S., SICAR VI;Herr;;Clémence;Pedraza;Frankreich
Unbound Nation AG;Greenfield One III GmbH & Co. KG;Herr;;Philipp;Hübner;Schweiz
Unbound Nation AG;Greenfield One III GmbH & Co. KG;Herr;;Gennadi;Tschernow;Schweiz
Unbound Nation AG;Greenfield One III GmbH & Co. KG;Herr;;Steven;Figura;Schweiz
Underlining LLC;Nordic Eye II SCSp;Herr;;Razvan;Romanescu;Vereinigte Staaten von Amerika (USA)
Underlining LLC;Nordic Eye II SCSp;Herr;;Aidan;Cole;Vereinigte Staaten von Amerika (USA)
Uniswap;a16z - CNK Fund IV, L.P.;"";"";"";"";""
Utopia Music AG;Nordic Eye II SCSp;Herr;;Mattias;Hjelmstedt;Schweiz
VOICEMOD;BITKRAFT ESPORTS VENTURES I, L.P. (KY);;;Jaime;Bosch;Spanien
Valispace GmbH;JOIN Capital Fund I GmbH & Co. KG;;;Marco;Witzmann;Deutschland
Valispace GmbH;JOIN Capital Fund I GmbH & Co. KG;;;Louise;Lindblad;Deutschland
Valispace GmbH;JOIN Capital Fund I GmbH & Co. KG;;;Simon;Bussche;Deutschland
Valispace GmbH;JOIN Capital Fund I GmbH & Co. KG;;;Hardware;Club;Deutschland
Vamstar;Alpha Intelligence Capital Fund 1;Herr;;Praful;Metha;Groß-Britanien (UK)
Vamstar;Alpha Intelligence Capital Fund 1;Herr;;Richard;Freeman;Groß-Britanien (UK)
Veo Robotics;Alpha Intelligence Capital Fund 1;Herr;;Scott;Denenberg;Vereinigte Staaten von Amerika (USA)
Veo Robotics;Alpha Intelligence Capital Fund 1;Frau;;Clara;Vu;Vereinigte Staaten von Amerika (USA)
Veo Robotics;Alpha Intelligence Capital Fund 1;Herr;;Patrick;Sobalvarro;Vereinigte Staaten von Amerika (USA)
Veritas Entertainment;BITKRAFT ESPORTS VENTURES I, L.P. (KY);;;Thomas;Fellger;Deutschland
Veritas Entertainment;BITKRAFT ESPORTS VENTURES I, L.P. (KY);;;Markus;Jaisle;Deutschland
Veritas Entertainment;BITKRAFT ESPORTS VENTURES I, L.P. (KY);;;Dorian;Gorr;Deutschland
Vermut Senior Community, Inc.;BITKRAFT Ventures Fund II, L.P.;Herr;;Enric;Duran;Vereinigte Staaten von Amerika (USA)
Vermut Senior Community, Inc.;BITKRAFT Ventures Fund II, L.P.;Herr;;Fernando;Dellepiane;Vereinigte Staaten von Amerika (USA)
Vermut Senior Community, Inc.;BITKRAFT Ventures Fund II, L.P.;Herr;;Jose;Sánchez;Vereinigte Staaten von Amerika (USA)
Versantis AG;Redalpine Capital S.C.S., SICAR III;;;Vincent;Forster;Schweiz
